ID,Kp_Level,Kp_Range,Bz_Level,Bz_Range,Bt_Level,Bt_Range,Speed_Level,Speed_Range,Density_Level,Density_Range,Aurora_Probability_%,Aurora_Type,Aurora_Colors,Aurora_Structure,Latitude_Reach_°,Duration_Hours,Verdict_Category,Physics_Flag,Physics_Notes,Likelihood,Alert_Level,Viewing_Tip
57,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
58,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
59,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,High,15-25 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
60,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
61,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
62,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,Low,3-7 p/cm³,0.7,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
63,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,0.7,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
64,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,High,15-25 p/cm³,0.8,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
65,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,Very High,>25 p/cm³,0.8,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
66,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,0.8,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
67,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,0.8,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
68,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,0.9,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
69,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,1.0,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
70,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,1.0,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
71,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,1.0,,,,>70°,0,⚫ NO AURORA,⚠️ RARE BUT POSSIBLE,RARE: Extreme speed with low density (rarefied HSS),Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
72,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,Low,3-7 p/cm³,1.0,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
73,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,1.1,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
74,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,High,15-25 p/cm³,1.2,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
75,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,Very High,>25 p/cm³,1.3,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
76,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,Very Low,<3 p/cm³,0.4,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
77,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,Low,3-7 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
78,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,Normal,7-15 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
79,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,High,15-25 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
80,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,Very High,>25 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,⚠️ RARE BUT POSSIBLE,UNUSUAL: High density with slow speed,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
81,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
82,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
83,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
84,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,High,15-25 p/cm³,0.7,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
85,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,0.7,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
86,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,0.7,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
